Number,Gene Name
394,PTPRK
395,OR2A7
396,SMIM8
397,OR5H6
398,IL1RL1
399,KIAA1109
400,SLC35F3
401,OR4K1
402,MT-ND4
403,VAMP4
404,ARL6IP1
405,OR8H1
406,TMEM126B
407,IL7R
408,TRPC4
409,LETMD1
410,FLRT1
411,SLC30A8
412,OR2B8P
413,PLD5
414,VSTM5
415,GPR26
416,OR1A2
417,OR10G2
418,PRSS8
419,OR1L4
420,STS
421,TMEM237
422,FUT7
423,SLC25A43
424,SLC6A6
425,OR10AC1
426,SCARB1
427,TP53I13
428,G6PC1
429,ZDHHC17
430,MFAP3L
431,SYT9
432,SLC34A3
433,ENPP5
434,OR9Q2
435,SERINC2
436,P2RX4
437,GRINA
438,PCDHGA3
439,TNFRSF8
440,EPOR
441,OR7G2
442,CNIH4
443,TRIM59
444,FZD2
445,SFXN4
446,UNC5CL
447,ANO3
448,B3GALT1
449,NXPE2
450,SLC43A1
451,CRYM-AS1
452,GPR157
453,OR6N1
454,OR10P1
455,MPZ
456,GPR137
457,PCDHA1
458,OR6V1
459,KCNK6
460,NEO1
461,CCR9
462,LTC4S
463,TMEM235
464,SLC25A15
465,Q9N2K0
466,FXYD5
467,PRRT2
468,RABAC1
469,ST14
470,PRLR
471,CLDN6
472,SSTR5
473,RELL1
474,HIGD2A
475,SPRING1
476,ENPP4
477,PKD2L2
478,TMEM123
479,EMC7
480,OR2AG2
481,LRRC15
482,MRGPRX4
483,TMEM41A
484,SIRPG
485,SLC34A1
486,TSPAN14
487,OR5L1
488,TSPAN18
489,ERMAP
490,OR7A17
491,ABHD6
492,SCN1B
493,TMEM98
494,MGAT4D
495,PIGL
496,SEZ6L
497,TMEM105
498,SARAF
499,INTS5
500,USP19
501,CACNA1F
502,FAM187A
503,TNFRSF14
504,LRRC66
505,ILDR2
506,ICAM2
507,ABCC3
508,B4GALNT4
509,SIGLEC10
510,MGAT5B
511,OR1E3
512,KIAA2013
513,RIC3
514,SGPL1
515,CDH8
516,SCNN1A
517,CYSLTR2
518,LAIR1
519,KLRC4
520,ATP1A1
521,KIR2DS4
522,C1orf210
523,ATP2A1
524,KCNE2
525,STX1B
526,TMEM230
527,RNF167
528,PLAAT1
529,OR2W1
530,PTGDR
531,ZDHHC24
532,IL1RAPL2
533,KCNE5
534,ACE2
535,MS4A18
536,TMEM135
537,HCAR3
538,SLITRK5
539,OR5H15
540,UNC5B
541,EPHA5
542,PISD
543,MC1R
544,EMD
545,OR4N4
546,WLS
547,OR5AK2
548,CD83
549,MCOLN3
550,TAS2R42
551,SMIM29
552,ITGAD
553,RAET1E
554,ENTPD3
555,TMEM132A
556,ISLR2
557,OR10A6
558,CLCN1
559,SSTR4
560,KIR2DL5B
561,SLC12A7
562,RAMP2
563,CMTM4
564,TLR6
565,NPIPB13
566,FITM2
567,ABCA2
568,CNST
569,C1orf115
570,SLC7A11
571,RUSF1
572,SMIM26
573,CCDC188
574,GPR176
575,TRPM6
576,TMEM63B
577,OR4F4
578,PCDH1
579,TMEM141
580,ASGR2
581,SLC35E2A
582,TMEM241
583,HTR1F
584,KIR2DL3
585,VSIG8
586,DPY19L3
587,TMTC3
588,SLC4A3
589,TNFRSF18
590,ATP2C1
591,OR7C2
592,KCNG4
593,VN1R4
594,CXorf1
595,PCDHGA2
596,ITGA5
597,FDFT1
598,KCNK13
599,SMIM13
600,PNPLA8
601,TAS1R3
602,CYB561
603,SLC2A5
604,LRP4
605,RFNG
606,OR10J6P
607,CYP4X1
608,EVI2A
609,OXER1
610,ADCY3
611,TTYH3
612,PHEX
613,TSPAN12
614,OR10S1
615,OR52K1
616,EXTL1
617,TNFSF18
618,OR2AP1
619,CLEC14A
620,PCDH15
621,SYBU
622,TMCO6
623,KIR2DL2
624,AIFM2
625,STX1A
626,GRAMD1A
627,PLSCR4
628,NDUFA13
629,DRD3
630,GPR35
631,ATP13A4
632,HRH4
633,ANO6
634,VMP1
635,ICAM4
636,BTN3A2
637,NRP2
638,ERVMER34-1
639,OR4K14
640,SYT6
641,DIO2
642,UGT1A3
643,OR52B4
644,PAQR3
645,TMEM272
646,EMC4
647,TENM3
648,MAN1B1
649,TMX4
650,CYC1
651,ECE1
652,SLC38A6
653,FADS2B
654,TMEM240
655,CALHM1
656,CELSR1
657,KTN1
658,DPP6
659,COX7B2
660,SLC9A8
661,OR3A4P
662,ST7L
663,SLC6A14
664,REEP2
665,MS4A1
666,CHRM2
667,OR8I2
668,FRRS1
669,KCNB2
670,CLDN3
671,ILDR1
672,GP1BA
673,PXMP2
674,CD4
675,SLC2A4
676,GREB1L
677,RDH11
678,SCAI
679,HLA-DRA
680,TAS2R36
681,SPPL2C
682,SLC25A48
683,EMP2
684,NTSR2
685,ZDHHC19
686,OR6C2
687,ADGRD2
688,RNF139
689,OR2T33
690,GPR6
691,OR5H8
692,SLC35F5
693,SCAP
694,ASTN2
695,LRRC8A
696,LHFPL4
697,MYMX
698,UXS1
699,AOC3
700,RETREG2
701,NSDHL
702,PGAP2
703,NIPAL1
704,CDKAL1
705,PAPPA-AS1
706,C19orf18
707,PCDHB6
708,ASGR1
709,NOC4L
710,ACP2
711,DLL1
712,LRTM1
713,ATP8A2
714,OR1D5
715,PCDHA6
716,IL1RL2
717,GPR183
718,GALNT1
719,PTPRQ
720,TMEM30A
721,TMCO5A
722,UGT2B17
723,B4GALT7
724,DNAJC1
725,MMD2
726,CLN8
727,OR10AD1
728,FICD
729,TMEM30B
730,TMEM9B
731,OSMR
732,NPR2
733,USH2A
734,SEMA5A
735,NDUFB4
736,SLC30A5
737,OR8H2
738,CLCN2
739,KCNE3
740,CYP2D7
741,C11orf24
742,SOAT2
743,TNFSF15
744,UGT1A9
745,XKR4
746,C3orf20
747,MCUR1
748,IL10RA
749,TAS2R46
750,SLC35E4
751,NKPD1
752,FUT10
753,GDPD4
754,GABRB1
755,MC5R
756,TNFRSF10D
757,GPR55
758,LY6G6F
759,RYR1
760,TLR3
761,SELP
762,SLC33A1
763,TMEM236
764,CLIC2
765,QPCTL
766,LRRN3
767,COX4I2
768,MOXD1
769,OR8J1
770,ADGRA3
771,GOSR1
772,CDHR1
773,ABCA3
774,GRID1
775,PCDHB8
776,GLIPR1L2
777,TMEM88B
778,TAAR9
