Uniprot ID,Gene name,GTEx,Brain_RNA-Seq,HPA_RNA,HPA_IHC,HPA_Consensus,Tau Sum,scRNAseq Rank,scRNAseq Attribution,DT Mass Spec - Plasma,DT Mass Spec - CSF,DT Mass Spec - Neuron Culture,HPPP - Plasma,HPPP - CSF,iPSC Proteomics,Guldbrandsen2014,Zhang2007,Macron2018,Schutzer2010,Begcevic2016,Thompson2020,Muraoka2020,Thompson2018,Chiasserini2014,Sum in Mass Spec,Transmembrane
Q9BZA8,PCDH11Y,0.9137487634210799,0.8568886291098166,0.9765786777684373,0.0,0.9733665883278293,3.720582658627163,1688,0.0002970469623352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q2M3C6,TMEM266,0.7708100913724842,0.7167368673225145,0.9126089189290157,1.0000000000000009,0.18728320195034348,3.587439079574359,4551,0.0001157308486531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q9Y698,CACNG2,0.9950559856962131,0.889648855840143,0.9919585725770395,0.0,0.7016100811503261,3.578273495263722,445,0.0009294852996409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
O95259,KCNH1,0.8614195492669907,0.8232273064206908,0.9296144638019141,0.9556722028780562,0.0,3.569933522367652,561,0.0007613984803192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q9Y2T5,GPR52,0.8677925256612486,0.7239615558719765,0.9845068294585771,0.0,0.9852387955699303,3.5614997065617326,24811,4.323263021036454e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q7Z7J7,LHFPL4,0.9646415471640779,0.8454219659132128,0.9563652818550279,0.0,0.7703565689995251,3.536785363931844,1831,0.0002764166064547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q8NDV2,GPR26,0.8548748832617028,0.8565605017687157,0.9999999999999992,1.0000000000000009,0.29899641130051174,4.010431796330931,16246,5.7185215902341565e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q9H2B2,SYT4,0.9573370589929644,0.93374632398061,0.8915690030180536,1.0000000000000009,0.2677593423886912,4.05041172838032,510,0.0008257665403039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
O75899,GABBR2,0.9531994776823912,0.8663808154713781,0.957292284742901,0.9931346114660943,0.29706378338607303,4.067070972748838,102,0.00240423473145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q12879,GRIN2A,0.9117977668155861,0.8853184213971854,0.9232286888816499,0.9878667355082421,0.3684989352795736,4.076710547882238,61,0.0030382566945208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q9NRU3,CNNM1,0.7382640381479422,0.908030320774164,0.8658054102985318,0.8807806993729768,0.08908106493650797,3.4819615335301224,3009,0.0001741807455353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P47870,GABRB2,0.9382672255100666,0.8742985228958652,0.9082666975852753,1.0000000000000009,0.3813310397671733,4.102163485758381,10,0.005822773410821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P39086,GRIK1,0.8784123926210993,0.8457502891957203,0.9165419408522687,0.5487608512558578,0.9238550158419112,4.113320489766857,313,0.0012235942716427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P21728,DRD1,0.8700652706681291,0.8426863286582823,0.9358410363702075,0.0,0.7716023497986066,3.420194985495226,7602,5.860186781727495e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
