Number,Gene Name, SCimilarity Attribution Score, Transmembrane Domain?
7086,SRP19,3.3112843570900576e-05,False
7087,PAIP1,3.310265954257243e-05,False
7089,CRKL,3.309277662101115e-05,False
7090,UQCR10,3.307352371037001e-05,True
7091,SEPT11,3.307154997515838e-05,False
7092,SS18L2,3.30667746492562e-05,False
7093,TPT1,3.304837657788015e-05,False
7094,PSMD8,3.303990467692257e-05,False
7095,PCDH11Y,3.303420356196617e-05,True
7096,ZNF568,3.30329138959402e-05,False
7098,ZNF883,3.302737845900798e-05,False
7099,SDAD1,3.3026893005445536e-05,False
7100,VAC14,3.302289795874853e-05,False
7101,CABP1,3.300622618206269e-05,False
7102,SEC24A,3.30047462891979e-05,False
7103,SNCB,3.3002213926723504e-05,False
7104,LAPTM5,3.2986814965765905e-05,True
7105,B4GALT6,3.297916780727745e-05,True
7106,CLPB,3.297562598721659e-05,False
7107,FAU,3.297219303444298e-05,False
7108,RETSAT,3.296563506441392e-05,False
7109,FGF2,3.295370742245776e-05,False
7110,ATP8B2,3.2952575682072466e-05,True
7111,SPIN3,3.293968900639558e-05,False
7112,JOSD1,3.293158264548308e-05,False
7113,ZNHIT3,3.2929620427527234e-05,False
7114,RMND5B,3.292811543244121e-05,False
7115,ATF3,3.291161256057192e-05,False
7116,TGFBR2,3.290816258622514e-05,True
7117,FKBP3,3.2905446801794873e-05,False
7118,SFI1,3.2903531232121064e-05,False
7120,NDUFC1,3.2900312936213536e-05,True
7121,PITPNA,3.289403845278955e-05,False
7122,PDIA4,3.28895962453391e-05,False
7123,ABCC8,3.287755106214789e-05,True
7124,RBM8A,3.2875683275952365e-05,False
7125,CD59,3.286880575965356e-05,False
7126,BBOX1,3.286247912923866e-05,False
7127,SUPV3L1,3.286011154806201e-05,False
7128,IGBP1,3.285145887730619e-05,False
7129,CSRNP2,3.284479748051048e-05,False
7130,DEPDC1B,3.284344065245877e-05,False
7131,MASP2,3.284076387347157e-05,False
7132,BCL11A,3.28272749628004e-05,False
7133,RPA2,3.282635407768382e-05,False
7134,MAP1LC3B,3.281681067917516e-05,False
