Number,Gene Name
394,LYSMD3
395,CDH18
396,CISD2
397,MAOA
398,UGT2A2
399,FLRT1
400,GFY
401,UQCC3
402,SLC18A1
403,BTNL10
404,MGAT4B
405,ARMC10
406,TMEM14A
407,CHL1
408,SEC61B
409,XXYLT1
410,OR5K3
411,AWAT1
412,LEMD3
413,TMEM233
414,OR52I1
415,ITGA5
416,OR14A2
417,SLC2A12
418,CDHR2
419,LEMD1
420,PCDHA13
421,OSTM1
422,PTCHD3
423,TMEM158
424,MAN2A1
425,RTL1
426,NDUFB5
427,CTAGE1
428,MMD
429,TMEM200A
430,IL22RA1
431,OR51G2
432,DPM2
433,MOGS
434,G6PC1
435,ENTPD4
436,SYPL2
437,OR4K13
438,DISP2
439,GYPA
440,SLC10A5
441,NRXN3
442,ST8SIA1
443,CLEC1B
444,SMIM36
445,PLPPR3
446,OXTR
447,ABCA5
448,CEACAM19
449,PTGFR
450,TRIQK
451,OR5P3
452,ABCB9
453,KCNN1
454,CCDC90B
455,GALNT15
456,ITGAE
457,CLEC1A
458,VAPA
459,XCR1
460,MERTK
461,IL12RB1
462,CASR
463,OR10J3
464,TNFSF13B
465,IZUMO3
466,IFITM10
467,PIK3IP1
468,PCDHGB6
469,GALR2
470,MARCO
471,COLEC12
472,PTCH2
473,PTAFR
474,TRHR
475,ABCG4
476,GLT8D2
477,OR14I1
478,NAT8
479,SCAMP1
480,GOLT1A
481,TMPRSS2
482,SLFN12L
483,SLC17A1
484,GPR88
485,OR6S1
486,TMEM177
487,OR4D6
488,SLC22A20P
489,CD63
490,INSIG1
491,ALG3
492,SLC22A1
493,LRRC66
494,PCDHB11
495,TMEM63C
496,SLC46A1
497,FDFT1
498,NLGN4X
499,SLC11A1
500,VSIR
501,COQ8A
502,GPRC5A
503,EBPL
504,MBOAT1
505,CTAGE9
506,SYNGR3
507,MFSD14A
508,CNMD
509,TMEM221
510,MLEC
511,FADS2B
512,TANGO6
513,MS4A15
514,PACC1
515,SELENOI
516,SLC4A2
517,OR52A5
518,GJD4
519,ASIC3
520,GPR152
521,PCDHB10
522,OR13C6P
523,IYD
524,ERMP1
525,TMEM102
526,OR2T3
527,OR9G9
528,MOSPD2
529,SYT10
530,PCDHGB7
531,SIRPB1
532,UQCRFS1P1
533,EQTN
534,GNRHR2
535,TMEM81
536,PGAP3
537,SSTR4
538,KIRREL1
539,ASTN1
540,C17orf78
541,P2RY13
542,ANKLE2
543,TEX264
544,SLC35E4
545,WDR83OS
546,SMIM38
547,SLC25A14
548,FAAH
549,ORAI3
550,KCNB1
551,HECTD4
552,PCNX1
553,DDR1
554,LRRC37B
555,GPR183
556,XKR7
557,NPBWR1
558,SMIM2
559,UNC5B
560,SLC25A24
561,CYB561D2
562,ADGRD1
563,SPATA31A5
564,GPR162
565,GPR156
566,GPR78
567,NIPAL4
568,SLC25A36
569,LRRTM3
570,TSPAN4
571,MUC12
572,TRIM59
573,TRB
574,MICU3
575,PDE3B
576,GPR150
577,OR6X1
578,PLPPR4
579,DSG2
580,SMIM5
581,SLC25A37
582,RGSL1
583,ALG12
584,MPZL2
585,FAM163A
586,PTCH1
587,TLCD2
588,CLEC2D
589,ABCA3
590,OR5T1
591,KCNK16
592,OR14J1
593,OR52N5
594,FAR2
595,ARL6IP1
596,OR56A1
597,MT-ND5
598,EFNB2
599,ZDHHC3
600,PCDH9
601,MFSD2B
602,TMEM74B
603,OR2T4
604,PORCN
605,OR51B6
606,PIGN
607,CRHR2
608,FUT11
609,PCDH11X
610,NYNRIN
611,LRRN4CL
612,OR51T1
613,CDH24
614,PLVAP
615,OR4N2
616,TMEM91
617,EPHB2
618,ITGB6
619,LRRN1
620,ST3GAL5
621,SLC25A31
622,XYLT1
623,RTP2
624,SYNDIG1
625,TAAR9
626,SLC50A1
627,SPINT2
628,FUT5
629,FUNDC1
630,ASPRV1
631,SCARB1
632,KIAA1549
633,OR52P1P
634,OR10G3
635,SLC22A8
636,C1orf210
637,DCAF17
638,FAM241B
639,KIAA2013
640,ST6GALNAC2
641,HACD1
642,INTS2
643,TSPAN18
644,TMEM52B
645,SLC22A15
646,CCR10
647,GPR12
648,OR7G1
649,RNF122
650,CEMIP2
651,SUCO
652,CLEC9A
653,ST6GALNAC6
654,TLR2
655,ADGRG7
656,OR2A4
657,GAFA1
658,TMIGD2
659,EVA1A
660,TMEM123
661,MBTPS2
662,SLC14A1
663,IGSF5
664,FAM118A
665,ADCY9
666,CLCA2
667,GRAMD4
668,ANO3
669,NPIPB5
670,HLA-DQA2
671,STUM
672,TM4SF18
673,PLPP2
674,GAPT
675,CDH23
676,IMMP2L
677,KCNA1
678,AMFR
679,SEL1L
680,TMED4
681,TRAM1L1
682,SLC35G4
683,BCS1L
684,CREB3L4
685,BTLA
686,CD79A
687,YIPF1
688,KCNK15
689,CACNA2D4
690,LARGE2
691,SELPLG
692,B4GALNT1
693,OR2AJ1
694,TNFRSF10B
695,SYT11
696,BTN3A2
697,ABCB4
698,TMEM61
699,OR52B4
700,ATAD3A
701,TPRA1
702,ILDR2
703,TRAM1
704,ALG1
705,NDUFB6
706,ITGA3
707,FAM174A
708,FCGR2A
709,ROBO3
710,PCDHB4
711,MCUB
712,TNFRSF18
713,SFXN3
714,FICD
715,PSEN1
716,OR10X1
717,OR2T1
718,LMBR1
719,CLEC2L
720,PAQR9
721,PCNX4
722,MRGPRX1
723,WSCD2
724,ALPP
725,ADCY5
726,MEGF8
727,O71037
728,MFSD1
729,ANO5
730,BTN2A3P
731,MAS1L
732,PDE3A
733,SPATA31E1
734,IL1RAPL1
735,ZDHHC16
736,KCNN4
737,OR51Q1
738,GRID1
739,BCAM
740,DYNAP
741,NPTN
742,SFXN4
743,IFI27
744,MFNG
745,GAL3ST3
746,PLN
747,ITPR1
748,SDC3
749,CORIN
750,FLVCR2
751,FOLH1
752,SLC28A3
753,OR8B2
754,SIGLEC12
755,TMEM86A
756,THSD7A
757,MMEL1
758,CACNA2D3
759,CNNM2
760,LRRN3
761,FAM168B
762,HTR2B
763,AQP7
764,TMEM265
765,C6orf89
766,GP5
767,ANO1
768,TMEM249
769,TMEM213
770,PTPRK
771,PAQR6
772,EPHA4
773,TMEM150B
774,OR10R2
775,GOLGB1
776,SLC30A3
777,ERVV-1
778,GABRA3
779,SLC28A1
780,PCDH15
781,TACSTD2
782,OR51H1
783,SIGLEC10
784,RHOT2
785,EVA1B
786,SLC24A3
787,OR5K1
788,TMX1
789,OR8S1
790,DNAJC18
791,OR13C4
792,ASIC4
793,KLRB1
794,CLCN6
795,BSND
796,NMUR2
797,DPM3
798,CD58
799,TOR1AIP2
800,PCSK7
801,ADGRL2
802,UBXN8
803,SCAI
804,LAPTM5
805,SPATA9
806,LEPROTL1
807,KLB
808,PSD2
809,ACVR1B
810,TSPAN12
811,MMP23B
812,TMEM183BP
813,SEMA6A
814,OR52B6
815,CA12
816,AQP12A
817,PCNX3
818,CD86
819,ATP11C
820,PTPRQ
821,LRRC15
822,PXYLP1
823,GABRE
824,ADRA2B
825,GUCY2C
826,CREB3L3
827,OR51A7
828,FAM171B
829,nan
830,SUN2
831,TAAR1
832,HCRTR2
833,INSR
834,MOGAT3
