Number,Gene Name, SCimilarity Attribution Score, Transmembrane Domain?
11447,ZSCAN1,2.5933326511343537e-05,False
11448,RBMX2,2.5926049711967536e-05,False
11449,FBLIM1,2.5924043479972848e-05,False
11450,ERCC2,2.5902825617238716e-05,False
11451,RPS29,2.589327070653671e-05,False
11452,ASF1A,2.5883484431202664e-05,False
11454,SNRPG,2.5876710901810124e-05,False
11455,SFRP2,2.5873781298393767e-05,False
11456,CPA2,2.587268065506461e-05,False
11457,FBXO8,2.587126896569587e-05,False
11458,SLC24A1,2.5869482402932968e-05,True
11459,LAP3,2.5850129994957488e-05,False
11460,MRPL28,2.583692147696197e-05,False
11461,C1orf228,2.583689555036711e-05,False
11467,GBGT1,2.578798180515461e-05,True
11468,HR,2.578284324788532e-05,False
11470,TMEM45A,2.5780756784196647e-05,True
11471,CPO,2.575217428984278e-05,False
11472,MRPL35,2.575118100393908e-05,False
11473,PPIA,2.572916498543956e-05,False
11474,RPF1,2.5723618076629337e-05,False
11475,ATF5,2.571217465817705e-05,False
11476,RPL31,2.56790433676224e-05,False
11477,TBC1D25,2.5671166824226425e-05,False
11479,ELMSAN1,2.565495648083727e-05,False
11480,RASSF2,2.5639901296200504e-05,False
11481,DGAT2,2.563565541762742e-05,True
11482,PLSCR4,2.563398178483177e-05,True
11483,PPP1R14A,2.563385247222048e-05,False
11484,C14orf166,2.563278035252869e-05,False
11485,SLC39A7,2.5624460083826798e-05,True
11487,SPDL1,2.5616821404107892e-05,False
11489,GPC3,2.560393968501706e-05,False
11490,ETNK2,2.559920417802672e-05,False
11492,MTIF2,2.5585901135008417e-05,False
11493,EIF4A3,2.5584356051706772e-05,False
11494,TMPRSS9,2.557986636105857e-05,True
11495,PRC1,2.557314673738443e-05,False
11496,RAB40A,2.556929107041972e-05,False
11497,MCM4,2.5564693976089005e-05,False
11498,ARMC4,2.5563208666094544e-05,False
11500,ZNF766,2.555425308559307e-05,False
11501,HTRA2,2.5545063050851663e-05,True
11502,CCDC152,2.554479613993941e-05,False
11503,IGSF6,2.5534082781997464e-05,True
11504,TUFT1,2.5530933543920594e-05,False
11505,RRNAD1,2.552906522569548e-05,True
11506,WDR74,2.552723658807435e-05,False
11507,ZNF268,2.552538374383288e-05,False
11508,C11orf95,2.5525335963686244e-05,False
11510,NCAPH2,2.5519263231772735e-05,False
11511,RCCD1,2.5514929182464678e-05,False
11512,TRIM25,2.5505405718896414e-05,False
11513,RWDD2B,2.549471710302499e-05,False
11514,COQ6,2.5492914784392333e-05,False
11515,PHKG1,2.547847443118696e-05,False
11516,SYCN,2.547796741345381e-05,False
11517,MON1A,2.5475439156096727e-05,False
11518,YEATS4,2.5451587448876535e-05,False
11520,ZNF34,2.5435252871108743e-05,False
11522,STRC,2.54283468247072e-05,False
11524,WDR92,2.5389722893339167e-05,False
11525,ANKRD34B,2.537161561915004e-05,False
11526,SEH1L,2.535254136466049e-05,False
11527,BRIX1,2.534509596051296e-05,False
11528,SRCAP,2.5343227632947835e-05,False
11529,FRS3,2.5331659759204075e-05,False
11530,BTC,2.5309555794520085e-05,True
11531,GPR83,2.5307041825862435e-05,True
11532,RGS3,2.5305275718268023e-05,False
11533,BBS12,2.529227173502122e-05,False
11534,CCDC141,2.5286060677388733e-05,False
11535,KIF20B,2.5280871975128382e-05,False
11536,SPC25,2.5276879749695032e-05,False
11537,SLC10A1,2.5275965532166624e-05,True
11538,THUMPD3,2.5267170973112614e-05,False
11539,DLEC1,2.526615500741704e-05,False
11540,DDX39A,2.5264709444623024e-05,False
11541,ARAF,2.5263081177518224e-05,False
11542,CITED4,2.5254413773445163e-05,False
11543,HSD11B1,2.5243774293139407e-05,True
11544,MKNK2,2.5239082974790365e-05,False
11545,RBM3,2.5229668056651463e-05,False
11546,ZNF85,2.5223124246179702e-05,False
11547,HECTD3,2.5220005361619896e-05,False
11548,TFAP2D,2.5214017865663944e-05,False
11551,SLC29A2,2.5187252587131608e-05,True
11552,MRPL49,2.5183412013103145e-05,False
11553,CBX4,2.5179907516636903e-05,False
11554,C21orf58,2.516529441915573e-05,False
11555,ILF2,2.516384346672902e-05,False
11556,NOL3,2.516304396031098e-05,False
11557,C2orf76,2.5148989407904104e-05,False
11558,CSTF2,2.5139219043836943e-05,False
11559,CENPX,2.5136797582995608e-05,False
11560,REG1B,2.512612916610028e-05,False
11561,RPL38,2.5114219586395305e-05,False
11564,SCNM1,2.5107441294860973e-05,False
11565,IGSF5,2.510456314112965e-05,True
11566,PFAS,2.510133350127798e-05,False
11567,ZFP69B,2.509932605211769e-05,False
11568,MIR22HG,2.509925069239457e-05,False
11569,ZNF16,2.509537907862313e-05,False
11570,TACC3,2.5088365763362958e-05,False
11571,AZU1,2.50872976616563e-05,False
11572,DDX4,2.507725571696209e-05,False
11574,TRMT10A,2.506122315693047e-05,False
11575,SDCCAG3,2.5057024731782937e-05,False
11576,CPSF1,2.505619093656864e-05,False
11578,HS1BP3,2.503260872533152e-05,False
11579,TMEM217,2.5031362304000472e-05,True
11580,CRTC2,2.5019132068430314e-05,False
11581,SLC51A,2.5012364522594147e-05,True
